epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,6098.86,0.35527,0.34218,1.12305,0.85311,0.86879,0.91122,0.9104,0.10549,0.43359,0.50089,5.2e-05,5.2e-05,5.2e-05
42,6243.91,0.31372,0.28997,1.08579,0.87839,0.8537,0.91025,0.90941,0.09594,0.42769,0.49903,4.705e-05,4.705e-05,4.705e-05
43,6388.68,0.31627,0.2715,1.08969,0.85529,0.87944,0.9148,0.91405,0.12319,0.45547,0.50168,4.21e-05,4.21e-05,4.21e-05
44,6539.51,0.2975,0.2508,1.07116,0.85573,0.85695,0.9045,0.90376,0.09137,0.45738,0.47969,3.715e-05,3.715e-05,3.715e-05
45,6685.01,0.29515,0.24434,1.068,0.84772,0.8768,0.91393,0.9131,0.10599,0.44928,0.48942,3.22e-05,3.22e-05,3.22e-05
46,6829.95,0.29052,0.24206,1.06893,0.84536,0.88128,0.91068,0.90979,0.08287,0.44103,0.46789,2.725e-05,2.725e-05,2.725e-05
47,6983.34,0.28328,0.21301,1.05503,0.83569,0.89309,0.91573,0.91509,0.07901,0.41183,0.47021,2.23e-05,2.23e-05,2.23e-05
48,7129.79,0.2824,0.2088,1.05792,0.87807,0.86976,0.91698,0.9162,0.07379,0.40448,0.46314,1.735e-05,1.735e-05,1.735e-05
49,7284.6,0.27337,0.20282,1.05077,0.86572,0.87218,0.91338,0.91313,0.09154,0.41818,0.46876,1.24e-05,1.24e-05,1.24e-05
50,7432.02,0.27767,0.19947,1.05847,0.83226,0.895,0.91386,0.91324,0.06864,0.40832,0.45709,7.45e-06,7.45e-06,7.45e-06
